channel,count_clicks,count_downloads,fraud_rate
3,4634,12,0.9974104445403539
5,10,0,1.0
13,525,0,1.0
15,30,0,1.0
17,1161,0,1.0
18,299,1,0.9966555183946488
19,6715,15,0.9977661950856291
21,1583,4,0.9974731522425774
22,75,0,1.0
24,369,2,0.994579945799458
30,959,1,0.9989572471324296
101,10871,34,0.996872412841505
105,6389,23,0.9964000626076068
107,44701,127,0.9971589002483165
108,18,0,1.0
110,1354,7,0.9948301329394387
111,3183,3,0.9990574929311969
113,2173,1,0.9995398067188219
115,7310,15,0.9979480164158687
116,3030,9,0.997029702970297
118,1305,3,0.9977011494252873
120,636,1,0.9984276729559748
121,25110,71,0.9971724412584627
122,13333,40,0.996999924998125
123,905,2,0.9977900552486187
124,2409,8,0.9966791199667911
125,6456,16,0.9975216852540273
126,151,1,0.9933774834437086
127,4895,15,0.9969356486210419
128,14363,39,0.9972846898280303
130,7592,15,0.9980242360379347
134,31264,78,0.9975051177072671
135,14255,31,0.9978253244475622
137,12135,31,0.9974454058508446
138,223,0,1.0
140,13661,32,0.9976575653319669
145,19045,54,0.9971646101338935
150,1170,1,0.9991452991452991
153,29148,74,0.9974612323315494
160,233,1,0.9957081545064378
171,157,0,1.0
173,7557,30,0.9960301707026598
174,136,1,0.9926470588235294
178,27747,71,0.9974411648106102
182,604,2,0.9966887417218543
203,52,0,1.0
205,23236,60,0.9974177999655707
208,523,1,0.9980879541108987
210,264,0,1.0
211,5421,18,0.9966795794133924
212,6471,17,0.9973728944521713
213,3297,4,0.9987867758568395
215,7768,12,0.9984552008238929
219,12626,38,0.9969903373990179
224,144,1,0.9930555555555556
232,11895,25,0.9978982765868012
234,3677,12,0.9967364699483274
236,7879,17,0.9978423657824597
237,14141,34,0.9975956438724277
242,1224,3,0.9975490196078431
243,2069,6,0.9971000483325277
244,6391,11,0.9982788296041308
245,46787,121,0.9974138115288435
253,224,0,1.0
258,5454,12,0.9977997799779978
259,30724,68,0.9977867465173805
261,12,0,1.0
262,165,1,0.9939393939393939
265,28751,64,0.9977739904698967
266,5359,8,0.9985071841761523
268,99,0,1.0
274,208,0,1.0
277,785,4,0.9949044585987261
278,3456,10,0.9971064814814815
280,80032,197,0.9975384846061576
282,145,1,0.993103448275862
311,17,0,1.0
315,6503,13,0.9980009226510841
317,3572,13,0.9963605823068309
319,3909,8,0.9979534407776925
320,127,0,1.0
322,266,1,0.9962406015037594
325,1918,8,0.9958289885297185
326,2499,6,0.9975990396158463
328,9840,21,0.9978658536585366
330,318,1,0.9968553459119497
332,39,0,1.0
333,145,0,1.0
334,10476,30,0.9971363115693013
340,3536,6,0.9983031674208145
341,28,1,0.9642857142857143
343,2252,4,0.9982238010657194
347,5086,6,0.9988202909948879
349,5503,11,0.998001090314374
353,15,0,1.0
356,164,1,0.9939024390243902
360,741,4,0.9946018893387314
361,503,1,0.9980119284294234
364,3483,7,0.9979902383003159
371,3004,15,0.9950066577896138
373,478,2,0.99581589958159
376,5134,20,0.9961044020257109
377,8114,13,0.998397830909539
379,18073,54,0.9970121175233774
386,4723,13,0.9972475121744654
391,307,1,0.996742671009772
400,3950,14,0.9964556962025316
401,7291,15,0.9979426690440268
402,1653,5,0.9969751966122202
404,60,0,1.0
406,781,4,0.9948783610755442
409,10105,19,0.9981197427016328
410,22,0,1.0
411,230,1,0.9956521739130435
412,3347,4,0.9988048999103675
416,246,0,1.0
417,1979,4,0.9979787771601819
419,21,0,1.0
420,46,0,1.0
421,404,1,0.9975247524752475
424,8102,23,0.9971611947667243
430,3214,9,0.9971997510889857
435,11529,30,0.9973978662503252
439,15348,47,0.9969377117539745
442,19036,56,0.9970582055053583
445,4880,11,0.9977459016393443
446,455,0,1.0
448,257,0,1.0
449,1098,5,0.9954462659380692
450,191,0,1.0
451,18,0,1.0
452,9467,23,0.9975705080807014
453,348,1,0.9971264367816092
456,41,0,1.0
457,165,0,1.0
459,18299,44,0.9975954970216951
460,195,0,1.0
463,4998,19,0.9961984793917567
466,14093,20,0.9985808557439864
467,1733,5,0.9971148297749567
469,13869,32,0.997692695940587
474,16,0,1.0
477,37678,83,0.9977971229895429
478,2970,10,0.9966329966329966
479,164,2,0.9878048780487805
480,13823,44,0.9968168993706142
481,4049,5,0.9987651271918992
483,24,0,1.0
484,482,2,0.995850622406639
486,41,0,1.0
487,1895,8,0.995778364116095
488,79,0,1.0
489,14547,46,0.9968378359799271
490,261,0,1.0
496,672,1,0.9985119047619048
497,2484,11,0.9955716586151369
