ip,app,device,os,channel,click_time,attributed_time,download_time,is_attributed
32457,12,1,13,178,2017-11-06 17:21:03,2017-11-06 17:23:22,0 days 00:02:19.000000000,1
27445,8,1,20,145,2017-11-08 02:41:50,2017-11-08 02:50:12,0 days 00:08:22.000000000,1
172978,15,1,13,379,2017-11-09 01:25:47,2017-11-09 04:59:00,0 days 03:33:13.000000000,1
122729,14,1,18,480,2017-11-08 12:10:03,2017-11-08 12:10:37,0 days 00:00:34.000000000,1
84916,12,1,10,259,2017-11-09 02:37:59,2017-11-09 02:38:36,0 days 00:00:37.000000000,1
68686,3,1,19,379,2017-11-09 14:25:36,2017-11-09 14:26:15,0 days 00:00:39.000000000,1
39780,18,1,19,107,2017-11-09 02:54:41,2017-11-09 07:14:13,0 days 04:19:32.000000000,1
151484,32,1,23,376,2017-11-09 09:04:41,2017-11-09 11:48:05,0 days 02:43:24.000000000,1
85242,6,1,34,125,2017-11-07 11:58:57,2017-11-07 12:01:59,0 days 00:03:02.000000000,1
18036,9,1,17,489,2017-11-09 14:55:44,2017-11-09 15:02:32,0 days 00:06:48.000000000,1
63624,15,1,25,245,2017-11-07 04:13:42,2017-11-07 04:14:49,0 days 00:01:07.000000000,1
7709,2,1,8,212,2017-11-07 10:58:45,2017-11-07 10:58:54,0 days 00:00:09.000000000,1
77949,21,1,15,128,2017-11-08 07:20:41,2017-11-08 07:53:44,0 days 00:33:03.000000000,1
121472,8,2,37,145,2017-11-09 12:20:42,2017-11-09 12:25:44,0 days 00:05:02.000000000,1
97712,24,1,19,105,2017-11-08 22:26:46,2017-11-08 23:19:28,0 days 00:52:42.000000000,1
8364,103,1,13,379,2017-11-08 14:00:27,2017-11-08 14:16:32,0 days 00:16:05.000000000,1
43834,1,2,37,153,2017-11-08 08:57:27,2017-11-08 08:59:43,0 days 00:02:16.000000000,1
96768,21,1,12,128,2017-11-08 09:15:27,2017-11-08 09:16:43,0 days 00:01:16.000000000,1
944,76,3543,748,347,2017-11-08 10:21:40,2017-11-08 10:21:48,0 days 00:00:08.000000000,1
15866,23,1,19,153,2017-11-09 06:00:13,2017-11-09 06:00:43,0 days 00:00:30.000000000,1
34561,3,1,13,280,2017-11-09 00:33:59,2017-11-09 05:21:21,0 days 04:47:22.000000000,1
125541,14,1,13,379,2017-11-09 04:14:14,2017-11-09 07:02:02,0 days 02:47:48.000000000,1
5314,2,1,19,122,2017-11-07 22:53:45,2017-11-08 05:36:30,0 days 06:42:45.000000000,1
61254,12,1,32,245,2017-11-07 19:26:06,2017-11-07 20:18:59,0 days 00:52:53.000000000,1
4019,12,1,11,409,2017-11-08 02:02:10,2017-11-08 12:48:10,0 days 10:46:00.000000000,1
200149,3,1,13,280,2017-11-08 05:00:39,2017-11-08 05:20:10,0 days 00:19:31.000000000,1
43827,12,1,8,265,2017-11-09 13:39:11,2017-11-09 13:42:13,0 days 00:03:02.000000000,1
20422,9,1,13,466,2017-11-08 06:15:43,2017-11-08 10:00:33,0 days 03:44:50.000000000,1
1471,3,1,23,280,2017-11-09 08:22:03,2017-11-09 10:32:58,0 days 02:10:55.000000000,1
37515,14,1,41,401,2017-11-09 05:22:40,2017-11-09 05:22:45,0 days 00:00:05.000000000,1
115615,8,1,19,145,2017-11-07 08:21:38,2017-11-07 08:22:02,0 days 00:00:24.000000000,1
71566,14,1,35,118,2017-11-09 07:08:24,2017-11-09 07:09:02,0 days 00:00:38.000000000,1
36669,12,1,18,328,2017-11-07 09:55:38,2017-11-07 10:01:49,0 days 00:06:11.000000000,1
71370,3,1,10,173,2017-11-07 08:59:20,2017-11-07 09:02:31,0 days 00:03:11.000000000,1
122309,3,1,32,480,2017-11-08 15:10:00,2017-11-08 15:51:13,0 days 00:41:13.000000000,1
41662,1,1,19,125,2017-11-08 22:51:41,2017-11-09 01:38:51,0 days 02:47:10.000000000,1
40796,2,1,18,477,2017-11-09 10:31:41,2017-11-09 10:33:26,0 days 00:01:45.000000000,1
61793,15,1,19,245,2017-11-08 05:41:22,2017-11-08 05:42:30,0 days 00:01:08.000000000,1
97750,18,1,19,121,2017-11-08 15:50:29,2017-11-08 15:50:33,0 days 00:00:04.000000000,1
103831,12,1,23,245,2017-11-09 00:36:33,2017-11-09 00:37:24,0 days 00:00:51.000000000,1
107588,12,2,6,245,2017-11-08 01:33:17,2017-11-08 11:43:31,0 days 10:10:14.000000000,1
144508,15,1,17,245,2017-11-09 08:40:59,2017-11-09 09:01:25,0 days 00:20:26.000000000,1
105157,3,1,17,371,2017-11-07 00:15:23,2017-11-07 03:23:26,0 days 03:08:03.000000000,1
19312,18,1,22,134,2017-11-08 14:26:53,2017-11-08 14:49:57,0 days 00:23:04.000000000,1
272311,1,1,13,135,2017-11-08 09:49:33,2017-11-08 09:51:28,0 days 00:01:55.000000000,1
53765,13,1,19,469,2017-11-08 00:45:12,2017-11-08 00:56:43,0 days 00:11:31.000000000,1
12960,3,1,9,371,2017-11-07 06:33:10,2017-11-07 06:33:25,0 days 00:00:15.000000000,1
69407,9,1,13,442,2017-11-09 15:49:08,2017-11-09 15:54:48,0 days 00:05:40.000000000,1
45677,13,1,19,477,2017-11-08 11:46:15,2017-11-08 11:50:39,0 days 00:04:24.000000000,1
101214,3,1,25,452,2017-11-09 01:42:26,2017-11-09 01:45:40,0 days 00:03:14.000000000,1
81864,6,2,27,125,2017-11-08 12:25:07,2017-11-08 15:38:26,0 days 03:13:19.000000000,1
96122,2,1,13,477,2017-11-06 17:53:56,2017-11-06 17:55:24,0 days 00:01:28.000000000,1
59062,3,1,19,280,2017-11-07 02:58:46,2017-11-07 09:50:11,0 days 06:51:25.000000000,1
21099,6,1,15,125,2017-11-09 05:58:24,2017-11-09 09:05:07,0 days 03:06:43.000000000,1
42646,1,1,13,178,2017-11-08 17:27:33,2017-11-08 19:43:15,0 days 02:15:42.000000000,1
